,RowNum,amount,avgPS,avgScreen,cinemaId,cinemaName,scenes,scenes_time,screen_yield
0,1,5363402.20,104.90,5932.97,967,Jackie Chan北京耀莱,904,7.60,45070.61
1,2,3723616.95,125.00,7693.42,6275,金逸北京荟聚IMAX店,484,6.29,48358.66
2,3,3315668.30,65.42,4833.34,7642,太原龙湖万达广场店,686,7.00,33833.35
3,4,3276381.00,78.73,3652.60,797,武商摩尔国际电影城,897,7.54,27532.61
4,5,3097045.95,111.16,6194.09,980,金逸天津大悦城IMAX店,500,7.14,44243.51
5,6,3067176.50,110.58,8092.81,960,金逸北京大悦城IMAX店,379,6.77,54771.01
6,7,3051130.30,44.28,2761.20,9437,三亚红树林电影世界,1105,6.58,18161.49
7,8,2948511.10,97.17,5227.86,5712,广州金逸--无锡光美金逸影城,564,8.06,42121.59
8,9,2942699.60,89.84,5126.65,7542,阜阳颍州万达广场店,574,6.83,35032.14
9,10,2924780.00,91.34,5826.25,2526,广州飞扬影城（正佳分店）,502,7.97,46425.08
0,11,2891875.40,115.29,6542.70,5905,荆州万达广场店,442,7.02,45902.78
1,12,2884166.00,86.65,5983.75,7153,CGV影城 青岛万象城店,482,6.89,41202.37
2,13,2830524.00,56.71,3268.50,6111,德纳国际影城杭州萧山店,866,6.19,20218.03
3,14,2815464.55,87.65,5204.19,11632,辽阳万达广场店,541,6.44,33517.44
4,15,2803715.30,83.07,4117.06,13008,广州市捷登都会飞扬影城,681,7.48,30810.06
5,16,2766678.00,50.45,3224.57,11304,北京市金泉港国际影城,858,6.81,21957.76
6,17,2754829.80,94.67,6752.03,13322,太原市万象影城IMAX店,408,7.29,49193.39
7,18,2750863.50,63.46,5415.09,839,北京石景山万达广场店,508,7.26,39298.05
8,19,2750015.30,52.04,4523.05,6112,北京通州万达广场店,608,7.24,32738.28
9,20,2741272.25,60.59,3183.82,1000,UME影城（河北邯郸店）,861,7.69,24475.65
0,21,2728951.00,88.30,5945.43,7393,卢米埃北京长楹天街IMAX影城,459,6.56,38985.01
1,22,2728694.51,72.10,3816.36,3211,UME影城（河北石家庄店）,715,7.86,29985.65
2,23,2687885.75,85.77,4799.80,125,首都电影院西单店,560,5.71,27427.41
3,24,2676218.00,102.23,4438.17,6238,武商众圆摩尔国际电影城,603,7.83,34756.08
